symbol,line,date,sampleID,scene,shape,size,stack,gfp,brDisc,brDisc_gfp,brDisc_gfpNEG,KDtoWT
HmgD,77429,210603,HmgD_77429_210603,Series003,1.3.10.1024.1024,1024x1024,10,25.229805946350098,35.45655632019043,14.916876792907715,16.96404266357422,0.8793232302426208
HmgD,77429,210603,HmgD_77429_210603,Series004,1.3.10.1024.1024,1024x1024,10,23.050195693969727,41.37376594543457,16.473533630371094,20.98824405670166,0.7848933710636458
HmgD,77429,210603,HmgD_77429_210603,Series005,1.3.10.1024.1024,1024x1024,10,23.303576469421387,36.55362510681152,13.80673885345459,19.41271686553955,0.7112213580966401
HmgD,77429,210603,HmgD_77429_210603,Series006,1.3.10.1024.1024,1024x1024,10,22.813090324401855,36.42158126831055,13.522601127624512,19.812068939208984,0.6825436136486821
D12,60872,210603,D12_60872_210603,Series001,1.3.10.1024.1024,1024x1024,10,24.123708724975586,43.406593322753906,17.7288761138916,22.264920234680176,0.7962694645668138
D12,60872,210603,D12_60872_210603,Series002,1.3.10.1024.1024,1024x1024,10,18.812678337097168,38.65568828582764,15.647259712219238,19.339845657348633,0.8090684894516565
D12,60872,210603,D12_60872_210603,Series003,1.3.10.1024.1024,1024x1024,10,22.23014736175537,27.810426712036133,10.914294242858887,14.219953536987305,0.7675337485787054
D12,60872,210603,D12_60872_210603,Series004,1.3.10.1024.1024,1024x1024,10,22.80081081390381,41.811638832092285,16.941667556762695,21.287433624267578,0.7958529833041627
D12,60872,210603,D12_60872_210603,Series005,1.3.10.1024.1024,1024x1024,10,28.608983993530273,42.34867000579834,19.788312911987305,18.628324508666992,1.0622701415138338
wds,32952,210603,wds_32952_210603,Series001,1.3.10.1024.1024,1024x1024,10,38.415510177612305,32.3460054397583,16.19404125213623,12.670852661132812,1.2780545781114334
Tip60,28563,210603,Tip60_28563_210603,Series001,1.3.10.1024.1024,1024x1024,10,41.87834644317627,32.0703649520874,15.716021537780762,12.63133430480957,1.2442091356727571
Tip60,28563,210603,Tip60_28563_210603,Series002,1.3.10.1024.1024,1024x1024,10,38.024030685424805,33.202842712402344,14.263679504394531,14.468183517456055,0.98586525994678
Tip60,28563,210603,Tip60_28563_210603,Series003,1.3.10.1024.1024,1024x1024,10,43.10641956329346,30.40339183807373,14.869800567626953,11.815140724182129,1.2585377453179911
Tip60,28563,210603,Tip60_28563_210603,Series004,1.3.10.1024.1024,1024x1024,10,58.2547082901001,26.718036651611328,13.096749305725098,9.497511863708496,1.3789663538899972
Brd8,67308,211015,Brd8_67308_211015,a1,1.3.10.1024.1024,1024x1024,10,49.87277698516846,21.266693115234375,9.576513290405273,9.586943626403809,0.9989120269811738
Brd8,67308,211015,Brd8_67308_211015,b1,1.3.10.1024.1024,1024x1024,10,58.997694969177246,21.909282684326172,10.32678508758545,8.426970481872559,1.2254445544575745
Brd8,67308,211015,Brd8_67308_211015,c1,1.3.10.1024.1024,1024x1024,10,39.14357089996338,13.92547607421875,6.241717338562012,4.125764846801758,1.5128630860773644
Bap111,v104361,211112,Bap111_v104361_211112,Series001,1.3.10.1024.1024,1024x1024,10,44.84212684631348,41.44070911407471,17.897808074951172,18.138364791870117,0.986737684478219
Bap111,v104361,211112,Bap111_v104361_211112,Series002,1.3.1.1024.1024,1024x1024,1,0.0,0.0,0.0,0.0,
Bap111,v104361,211112,Bap111_v104361_211112,Series003,1.3.10.1024.1024,1024x1024,10,44.205307960510254,47.59676265716553,19.002774238586426,23.053184509277344,0.824301485590379
Bap111,v104361,211112,Bap111_v104361_211112,Series004,1.3.10.1024.1024,1024x1024,10,40.31113815307617,35.96485424041748,15.176712036132812,15.100293159484863,1.0050607545059447
Nipped-A,34849,211112,Nipped-A_34849_211112,Series002,1.3.10.1024.1024,1024x1024,10,51.09112548828125,29.183002471923828,13.142541885375977,12.338118553161621,1.0651982171145715
Nipped-A,34849,211112,Nipped-A_34849_211112,Series004,1.3.10.1024.1024,1024x1024,10,39.24177932739258,22.676088333129883,10.717947006225586,7.930281639099121,1.351521609696972
Nipped-A,34849,211112,Nipped-A_34849_211112,Series005,1.3.10.1024.1024,1024x1024,10,15.51701831817627,21.414498329162598,8.171744346618652,9.38387680053711,0.8708281790475896
Nipped-A,34849,211112,Nipped-A_34849_211112,Series007,1.3.10.1024.1024,1024x1024,10,18.702805519104004,21.66934108734131,9.594369888305664,7.888670921325684,1.2162213361402758
osa,31266,210503,osa_31266_210503,Series001,1.3.10.1024.1024,1024x1024,10,38.718807220458984,39.71550178527832,25.24569606781006,10.707159996032715,2.3578330833913244
osa,31266,210503,osa_31266_210503,Series002,1.3.10.1024.1024,1024x1024,10,0.8860101699829102,20.785907745361328,0.0,12.899273872375488,0.0
osa,31266,210503,osa_31266_210503,Series003,1.3.10.1024.1024,1024x1024,10,0.8997173309326172,26.62282657623291,0.0,16.87149429321289,0.0
osa,31266,210503,osa_31266_210503,Series004,1.3.10.1024.1024,1024x1024,10,22.672749519348145,1.2228031158447266,0.7501382827758789,0.3617391586303711,2.0736994181555506
osa,31266,210503,osa_31266_210503,Series005,1.3.10.1024.1024,1024x1024,10,23.365199089050293,29.375588417053223,18.22291374206543,6.455142021179199,2.82300740747088
osa,31266,210503,osa_31266_210503,Series006,1.3.10.1024.1024,1024x1024,10,22.126070022583008,26.226431846618652,16.032445907592773,6.597237586975098,2.430175614600507
osa,31266,210503,osa_31266_210503,Series007,1.3.10.1024.1024,1024x1024,10,1.3091678619384766,19.240758895874023,0.12485122680664062,13.125295639038086,0.009512260160853077
osa,31266,210503,osa_31266_210503,Series008,1.3.10.1024.1024,1024x1024,10,34.71016025543213,16.982406616210938,7.884374618530273,4.085872650146484,1.9296672445842402
osa,31266,210503,osa_31266_210503,Series009,1.3.10.1024.1024,1024x1024,10,38.46773052215576,35.94820690155029,22.71517562866211,9.129197120666504,2.4881898515741243
Arp5,33009,210512,Arp5_33009_210512,Series001,1.3.10.1024.1024,1024x1024,10,26.22612190246582,29.893818855285645,12.54180908203125,14.082392692565918,0.8906021409736755
